Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,30833.333984,34250.0,30833.333984,34166.667969,32736.435547,3002495.0
2012-05-22,35833.332031,35833.332031,35416.667969,35833.332031,34333.332031,5801459.0
2012-05-23,35750.0,35833.332031,34083.332031,34083.332031,32656.587891,1266935.0
2012-05-24,32500.0,33333.332031,32416.666016,32416.666016,31059.689453,1211255.0
2012-05-25,32416.666016,33166.667969,30916.666016,32500.0,31139.535156,1112711.0
2012-05-28,32666.666016,32666.666016,31250.0,31333.333984,30021.707031,548879.0
2012-05-29,30250.0,30833.333984,30083.333984,30583.333984,29303.101563,501959.0
2012-05-30,30833.333984,31583.333984,30583.333984,31500.0,30181.394531,204335.0
2012-05-31,31000.0,31500.0,30583.333984,31000.0,29702.326172,322835.0
2012-06-01,30833.333984,31166.666016,30833.333984,31000.0,29702.326172,166043.0
2012-06-04,30666.666016,30666.666016,29666.666016,29666.666016,28424.806641,459899.0
2012-06-05,29166.666016,29916.666016,29166.666016,29666.666016,28424.806641,396659.0
2012-06-06,29666.666016,30000.0,29416.666016,29833.333984,28584.496094,121559.0
2012-06-07,30250.0,31250.0,29833.333984,31250.0,29941.861328,456251.0
2012-06-08,31500.0,32750.0,31166.666016,31250.0,29941.861328,540071.0
2012-06-11,30833.333984,31583.333984,30666.666016,30666.666016,29382.945313,211331.0
2012-06-12,31250.0,31250.0,30250.0,30250.0,28983.720703,240911.0
2012-06-13,30583.333984,30583.333984,30083.333984,30333.333984,29063.566406,40259.0
2012-06-14,30166.666016,30666.666016,30083.333984,30333.333984,29063.566406,145031.0
2012-06-15,30333.333984,31083.333984,30333.333984,30916.666016,29622.480469,96551.0
2012-06-18,31083.333984,31666.666016,31083.333984,31583.333984,30261.240234,217895.0
2012-06-19,31583.333984,31833.333984,31333.333984,31583.333984,30261.240234,357047.0
2012-06-20,31583.333984,32250.0,31583.333984,32000.0,30660.464844,268979.0
2012-06-21,32333.333984,32333.333984,31750.0,32083.333984,30740.310547,172763.0
2012-06-22,32000.0,32333.333984,31916.666016,32166.666016,30820.154297,491747.0
2012-06-25,32250.0,32250.0,31333.333984,31583.333984,30261.240234,259559.0
2012-06-26,31000.0,31583.333984,31000.0,31583.333984,30261.240234,128891.0
2012-06-27,31500.0,32000.0,31500.0,31666.666016,30341.083984,67787.0
2012-06-28,32083.333984,32083.333984,31666.666016,32083.333984,30740.310547,377687.0
2012-06-29,32250.0,32250.0,32000.0,32000.0,30660.464844,709355.0
2012-07-02,32250.0,33333.332031,32000.0,32083.333984,30740.310547,506279.0
2012-07-03,31916.666016,32333.333984,31833.333984,32166.666016,30820.154297,118655.0
2012-07-04,32083.333984,32166.666016,31833.333984,31916.666016,30580.619141,217391.0
2012-07-05,31916.666016,32000.0,31250.0,31916.666016,30580.619141,38939.0
2012-07-06,31916.666016,31916.666016,31250.0,31916.666016,30580.619141,33095.0
2012-07-09,31916.666016,31916.666016,31416.666016,31666.666016,30341.083984,17891.0
2012-07-10,31416.666016,31666.666016,31250.0,31250.0,29941.861328,65879.0
2012-07-11,30833.333984,31500.0,30833.333984,31500.0,30181.394531,39527.0
2012-07-12,31583.333984,31583.333984,31333.333984,31583.333984,30261.240234,3395.0
2012-07-13,31666.666016,31833.333984,31583.333984,31750.0,30420.929688,92951.0
2012-07-16,31333.333984,31916.666016,31333.333984,31916.666016,30580.619141,91103.0
2012-07-17,32166.666016,32166.666016,31666.666016,31916.666016,30580.619141,218807.0
2012-07-18,32166.666016,32166.666016,31416.666016,32000.0,30660.464844,175871.0
2012-07-19,32000.0,33416.667969,31583.333984,33416.667969,32017.830078,1343099.0
