Date,Open,High,Low,Close,Adj Close,Volume
2009-07-21,16975.833984,17518.666016,16975.833984,21219.792969,21219.792969,4323115.0
2009-07-22,17518.666016,17716.058594,17271.923828,17469.318359,17469.318359,1923236.0
2009-07-23,17370.621094,18308.240234,17370.621094,18308.240234,18308.240234,1536637.0
2009-07-24,19196.509766,19196.509766,19196.509766,19196.509766,19196.509766,1297014.0
2009-07-27,20134.128906,20134.128906,19492.599609,20134.128906,20134.128906,6615957.0
2009-07-28,20134.128906,20627.611328,19591.296875,19640.644531,19640.644531,4069266.0
2009-07-29,19739.341797,19986.083984,19048.464844,19048.464844,19048.464844,2149465.0
2009-07-30,18653.677734,18999.117188,18258.890625,18703.027344,18703.027344,1682152.0
2009-07-31,18999.117188,19591.296875,18949.767578,19591.296875,19591.296875,3662303.0
2009-08-03,19739.341797,20134.128906,19492.599609,19739.341797,19739.341797,2439527.0
2009-08-04,20232.826172,20232.826172,19739.341797,19887.386719,19887.386719,2894050.0
2009-08-05,19689.994141,19887.386719,19541.949219,19739.341797,19739.341797,2289873.0
2009-08-06,19739.341797,19887.386719,19492.599609,19492.599609,19492.599609,3006088.0
2009-08-07,19492.599609,19640.644531,19344.554688,19443.251953,19443.251953,1354159.0
2009-08-10,19591.296875,19739.341797,19492.599609,19689.994141,19689.994141,1481114.0
2009-08-11,19591.296875,19689.994141,19393.904297,19443.251953,19443.251953,1130141.0
2009-08-12,19640.644531,19689.994141,19344.554688,19344.554688,19344.554688,2028833.0
2009-08-13,19640.644531,19640.644531,19344.554688,19443.251953,19443.251953,2352736.0
2009-08-14,19492.599609,19689.994141,19443.251953,19591.296875,19591.296875,1779463.0
2009-08-17,19739.341797,19838.039063,19492.599609,19492.599609,19492.599609,3110330.0
2009-08-18,19245.857422,19492.599609,19196.509766,19295.207031,19295.207031,1578280.0
2009-08-19,19295.207031,19443.251953,19245.857422,19295.207031,19295.207031,1446424.0
2009-08-20,19245.857422,19295.207031,19147.162109,19147.162109,19147.162109,1757964.0
2009-08-21,19492.599609,19739.341797,19245.857422,19295.207031,19295.207031,2285175.0
2009-08-24,19245.857422,19393.904297,19245.857422,19295.207031,19295.207031,1386338.0
2009-08-25,19245.857422,19245.857422,19097.8125,19147.162109,19147.162109,1449745.0
2009-08-26,19048.464844,19147.162109,19048.464844,19048.464844,19048.464844,1287064.0
2009-08-27,18999.117188,19048.464844,18900.419922,18949.767578,18949.767578,1235553.0
2009-08-28,18999.117188,19048.464844,18949.767578,19048.464844,19048.464844,1882122.0
2009-08-31,19393.904297,19443.251953,18999.117188,19196.509766,19196.509766,1546323.0
2009-09-01,19048.464844,19147.162109,18999.117188,19097.8125,19097.8125,1272699.0
2009-09-03,18851.072266,19147.162109,18851.072266,18900.419922,18900.419922,1335498.0
2009-09-04,18851.072266,19048.464844,18505.632813,18505.632813,18505.632813,1384921.0
2009-09-07,17864.103516,18357.587891,17765.408203,18160.195313,18160.195313,1493456.0
2009-09-08,18258.890625,18505.632813,18258.890625,18505.632813,18505.632813,968049.0
2009-09-09,18653.677734,18653.677734,18406.935547,18406.935547,18406.935547,657035.0
2009-09-10,18258.890625,18357.587891,18110.845703,18160.195313,18160.195313,757645.0
2009-09-11,18160.195313,18258.890625,18061.498047,18061.498047,18061.498047,1155391.0
2009-09-14,18061.498047,18110.845703,17962.800781,17962.800781,17962.800781,1213365.0
2009-09-15,17864.103516,18258.890625,17864.103516,18012.150391,18012.150391,1573194.0
2009-09-16,18752.375,18900.419922,18554.980469,18900.419922,18900.419922,2554443.0
2009-09-17,19245.857422,19245.857422,18653.677734,18752.375,18752.375,2178401.0
2009-09-18,18258.890625,18752.375,18258.890625,18752.375,18752.375,1775328.0
2009-09-21,18752.375,18752.375,18653.677734,18703.027344,18703.027344,1726574.0
2009-09-22,18505.632813,18604.330078,18258.890625,18456.285156,18456.285156,1423178.0
2009-09-23,18752.375,18752.375,18456.285156,18456.285156,18456.285156,1795148.0
2009-09-24,18308.240234,18406.935547,18258.890625,18258.890625,18258.890625,900062.0
2009-09-25,18160.195313,18752.375,18160.195313,18604.330078,18604.330078,1232090.0
2009-09-28,18752.375,18752.375,18406.935547,18406.935547,18406.935547,951350.0
2009-09-29,18308.240234,18406.935547,18209.542969,18258.890625,18258.890625,981302.0
2009-09-30,18110.845703,18258.890625,18110.845703,18160.195313,18160.195313,909930.0
2009-10-01,18061.498047,18258.890625,17962.800781,17962.800781,17962.800781,881053.0
2009-10-02,17568.013672,17765.408203,17419.96875,17518.666016,17518.666016,1201368.0
2009-10-05,17518.666016,17765.408203,17419.96875,17469.318359,17469.318359,738030.0
2009-10-06,17518.666016,17666.710938,17419.96875,17419.96875,17419.96875,627187.0
2009-10-07,17419.96875,17666.710938,17419.96875,17469.318359,17469.318359,498206.0
2009-10-08,17518.666016,17518.666016,17419.96875,17469.318359,17469.318359,674808.0
2009-10-09,17518.666016,17568.013672,17469.318359,17518.666016,17518.666016,990012.0
2009-10-12,17568.013672,17666.710938,17518.666016,17666.710938,17666.710938,908491.0
2009-10-13,17666.710938,17716.058594,17568.013672,17568.013672,17568.013672,682750.0
2009-10-14,17518.666016,18357.587891,17469.318359,18357.587891,18357.587891,1883497.0
2009-10-15,18900.419922,18949.767578,18258.890625,18505.632813,18505.632813,2148289.0
2009-10-16,18061.498047,18357.587891,18061.498047,18110.845703,18110.845703,703702.0
2009-10-19,18160.195313,18160.195313,18012.150391,18110.845703,18110.845703,921602.0
2009-10-20,18160.195313,18160.195313,18012.150391,18110.845703,18110.845703,879392.0
2009-10-21,17864.103516,17962.800781,17814.755859,17864.103516,17864.103516,779753.0
2009-10-22,17864.103516,18061.498047,17864.103516,18061.498047,18061.498047,909119.0
2009-10-23,18258.890625,18949.767578,18110.845703,18258.890625,18258.890625,5126240.0
2009-10-26,18258.890625,18456.285156,18012.150391,18012.150391,18012.150391,654340.0
2009-10-27,17765.408203,18012.150391,17568.013672,17666.710938,17666.710938,952891.0
2009-10-28,17765.408203,18012.150391,17568.013672,17617.363281,17617.363281,867580.0
