Date,Open,High,Low,Close,Adj Close,Volume
2008-01-25,2659.793213,2674.170410,2674.170410,2674.170410,2674.170410,2874282
2008-01-28,2731.679443,2688.547607,2688.547607,2688.547607,2688.547607,1426520
2008-01-29,2702.925049,2746.056641,2746.056641,2746.056641,2746.056641,4173230
2008-01-30,2875.452148,2875.452148,2875.452148,2875.452148,2875.452148,12613644
2008-01-31,2731.679443,2817.943115,2817.943115,2817.943115,2817.943115,2864196
2008-02-01,2904.206543,2904.206543,2904.206543,2904.206543,2904.206543,6690381
2008-02-04,null,null,null,null,null,null
2008-02-05,null,null,null,null,null,null
2008-02-06,null,null,null,null,null,null
2008-02-07,null,null,null,null,null,null
2008-02-08,null,null,null,null,null,null
2008-02-11,null,null,null,null,null,null
2008-02-12,2932.961182,2875.452148,2875.452148,2875.452148,2875.452148,3643900
2008-02-13,2846.697510,2789.188477,2789.188477,2789.188477,2789.188477,5240883
2008-02-14,2789.188477,2803.565674,2803.565674,2803.565674,2803.565674,3570881
2008-02-15,2789.188477,2789.188477,2789.188477,2789.188477,2789.188477,6410417
2008-02-18,2659.793213,2674.170410,2674.170410,2674.170410,2674.170410,7268390
2008-02-19,2616.661377,2659.793213,2659.793213,2659.793213,2659.793213,3001565
2008-02-20,2659.793213,2530.397949,2530.397949,2530.397949,2530.397949,3205373
2008-02-21,2415.379639,2415.379639,2415.379639,2415.379639,2415.379639,2170053
2008-02-22,2300.361572,2329.116211,2329.116211,2329.116211,2329.116211,8110692
2008-02-25,2415.379639,2444.134277,2444.134277,2444.134277,2444.134277,8051568
2008-02-26,2444.134277,2357.870605,2357.870605,2357.870605,2357.870605,8713032
2008-02-27,2357.870605,2386.625244,2386.625244,2386.625244,2386.625244,3224139
2008-02-28,2415.379639,2372.248047,2372.248047,2372.248047,2372.248047,1742989
2008-02-29,2343.493408,2314.739014,2314.739014,2314.739014,2314.739014,5228695
2008-03-03,2199.720947,2199.720947,2199.720947,2199.720947,2199.720947,7022172
2008-03-04,2099.080078,2099.080078,2099.080078,2099.080078,2099.080078,3727712
2008-03-05,1998.439209,2027.193726,2027.193726,2027.193726,2027.193726,9763974
2008-03-06,2127.834473,2127.834473,2127.834473,2127.834473,2127.834473,875294
2008-03-07,2228.475342,2228.475342,2228.475342,2228.475342,2228.475342,14887364
2008-03-10,2329.116211,2329.116211,2329.116211,2329.116211,2329.116211,14632100
2008-03-11,2386.625244,2314.739014,2314.739014,2314.739014,2314.739014,8359693
2008-03-12,2329.116211,2357.870605,2357.870605,2357.870605,2357.870605,10418850
2008-03-13,2386.625244,2372.248047,2372.248047,2372.248047,2372.248047,5328522
2008-03-14,2329.116211,2329.116211,2329.116211,2329.116211,2329.116211,3588275
2008-03-17,2242.852539,2214.098145,2214.098145,2214.098145,2214.098145,4733825
2008-03-18,2113.457275,2113.457275,2113.457275,2113.457275,2113.457275,9983780
2008-03-19,2214.098145,2113.457275,2113.457275,2113.457275,2113.457275,6247337
2008-03-20,2084.702881,2084.702881,2084.702881,2084.702881,2084.702881,5745490
2008-03-21,2084.702881,1984.061890,1984.061890,1984.061890,1984.061890,9364403
2008-03-24,1897.798340,1897.798340,1897.798340,1897.798340,1897.798340,3964571
2008-03-25,1811.534790,1811.534790,1811.534790,1811.534790,1811.534790,1345135
2008-03-26,1739.648560,1869.043823,1869.043823,1869.043823,1869.043823,13364118
2008-03-27,1883.421143,1883.421143,1883.421143,1883.421143,1883.421143,6235515
2008-03-28,1897.798340,1897.798340,1897.798340,1897.798340,1897.798340,4823183
2008-03-31,1912.175659,1912.175659,1912.175659,1912.175659,1912.175659,2735167
2008-04-01,1926.552856,1926.552856,1926.552856,1926.552856,1926.552856,452762
2008-04-02,1940.930176,1940.930176,1940.930176,1940.930176,1940.930176,2024329
2008-04-03,1955.307373,1955.307373,1955.307373,1955.307373,1955.307373,2438184
2008-04-04,1969.684692,1969.684692,1969.684692,1969.684692,1969.684692,1693
2008-04-07,1998.439209,1998.439209,1998.439209,1998.439209,1998.439209,114038
2008-04-08,2027.193726,2027.193726,2027.193726,2027.193726,2027.193726,23320822
2008-04-09,1998.439209,1998.439209,1998.439209,1998.439209,1998.439209,10144448
2008-04-10,1969.684692,1969.684692,1969.684692,1969.684692,1969.684692,2445134
2008-04-11,1940.930176,1940.930176,1940.930176,1940.930176,1940.930176,339033
2008-04-14,null,null,null,null,null,null
2008-04-15,null,null,null,null,null,null
2008-04-16,1912.175659,1912.175659,1912.175659,1912.175659,1912.175659,778272
2008-04-17,1883.421143,1926.552856,1926.552856,1926.552856,1926.552856,11172813
2008-04-18,1940.930176,1897.798340,1897.798340,1897.798340,1897.798340,4853108
2008-04-21,1869.043823,1869.043823,1869.043823,1869.043823,1869.043823,1636213
2008-04-22,1840.289307,1840.289307,1840.289307,1840.289307,1840.289307,1878271
2008-04-23,1811.534790,1811.534790,1811.534790,1811.534790,1811.534790,1354191
2008-04-24,1782.780273,1782.780273,1782.780273,1782.780273,1782.780273,4832247
2008-04-25,1754.025757,1754.025757,1754.025757,1754.025757,1754.025757,7906533
2008-04-28,1782.780273,1782.780273,1782.780273,1782.780273,1782.780273,5923905
2008-04-29,1811.534790,1811.534790,1811.534790,1811.534790,1811.534790,8254659
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,1840.289307,1840.289307,1840.289307,1840.289307,1840.289307,7903756
2008-05-06,1869.043823,1869.043823,1869.043823,1869.043823,1869.043823,10938777
2008-05-07,1854.666626,1869.043823,1869.043823,1869.043823,1869.043823,13098425
2008-05-08,1840.289307,1840.289307,1840.289307,1840.289307,1840.289307,5381710
2008-05-09,1811.534790,1811.534790,1811.534790,1811.534790,1811.534790,782460
2008-05-12,1782.780273,1782.780273,1782.780273,1782.780273,1782.780273,911125
2008-05-13,1754.025757,1754.025757,1754.025757,1754.025757,1754.025757,26736
2008-05-14,1725.271240,1725.271240,1725.271240,1725.271240,1725.271240,3067999
2008-05-15,1696.516724,1696.516724,1696.516724,1696.516724,1696.516724,333121
2008-05-16,1667.762207,1667.762207,1667.762207,1667.762207,1667.762207,13808911
2008-05-19,1639.007690,1639.007690,1639.007690,1639.007690,1639.007690,7220724
2008-05-20,1610.253174,1610.253174,1610.253174,1610.253174,1610.253174,296977
2008-05-21,1581.498657,1581.498657,1581.498657,1581.498657,1581.498657,3603571
2008-05-22,1552.744141,1552.744141,1552.744141,1552.744141,1552.744141,2408979
2008-05-23,1523.989624,1523.989624,1523.989624,1523.989624,1523.989624,7030854
2008-05-26,1495.235107,1495.235107,1495.235107,1495.235107,1495.235107,322704
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,1466.480591,1466.480591,1466.480591,1466.480591,1466.480591,190538
2008-06-02,1437.726074,1437.726074,1437.726074,1437.726074,1437.726074,76482
2008-06-03,1408.971558,1408.971558,1408.971558,1408.971558,1408.971558,133518
2008-06-04,1383.092407,1383.092407,1383.092407,1383.092407,1383.092407,542504
2008-06-05,1357.213379,1357.213379,1357.213379,1357.213379,1357.213379,262520
2008-06-06,1331.334351,1331.334351,1331.334351,1331.334351,1331.334351,602284
2008-06-09,1305.455200,1305.455200,1305.455200,1305.455200,1305.455200,365136
2008-06-10,1279.576172,1279.576172,1279.576172,1279.576172,1279.576172,35074
2008-06-11,1256.572510,1256.572510,1256.572510,1256.572510,1256.572510,7249243
2008-06-12,1236.444336,1279.576172,1279.576172,1279.576172,1279.576172,5544827
2008-06-13,1302.579834,1302.579834,1302.579834,1302.579834,1302.579834,5458591
2008-06-16,1328.458862,1328.458862,1328.458862,1328.458862,1328.458862,829387
2008-06-17,1354.337891,1354.337891,1354.337891,1354.337891,1354.337891,519873
2008-06-18,1380.217041,1380.217041,1328.458862,1328.458862,1328.458862,14946124
2008-06-19,1328.458862,1328.458862,1291.078003,1291.078003,1291.078003,8514803
2008-06-20,1253.697144,1291.078003,1253.697144,1253.697144,1253.697144,3712413
2008-06-23,1291.078003,1291.078003,1291.078003,1291.078003,1291.078003,5057581
2008-06-24,1328.458862,1328.458862,1328.458862,1328.458862,1328.458862,6027179
2008-06-25,1365.839722,1365.839722,1365.839722,1365.839722,1365.839722,4472312
2008-06-26,1406.096069,1406.096069,1391.718750,1406.096069,1406.096069,13834317
2008-06-27,1408.971558,1437.726074,1380.217041,1437.726074,1437.726074,6348185
2008-06-30,1480.857788,1480.857788,1480.857788,1480.857788,1480.857788,124806
2008-07-01,1523.989624,1523.989624,1523.989624,1523.989624,1523.989624,689941
2008-07-02,1567.121338,1567.121338,1567.121338,1567.121338,1567.121338,1216468
2008-07-03,1610.253174,1610.253174,1610.253174,1610.253174,1610.253174,460748
2008-07-04,1653.384888,1653.384888,1653.384888,1653.384888,1653.384888,5178300
2008-07-07,1696.516724,1696.516724,1610.253174,1696.516724,1696.516724,28172224
2008-07-08,1667.762207,1739.648560,1653.384888,1739.648560,1739.648560,18755962
2008-07-09,1782.780273,1782.780273,1768.403076,1782.780273,1782.780273,20136255
2008-07-10,1825.912109,1825.912109,1825.912109,1825.912109,1825.912109,21022046
2008-07-11,1879.970581,1879.970581,1879.970581,1879.970581,1879.970581,26080345
2008-07-14,1936.329468,1936.329468,1936.329468,1936.329468,1936.329468,7618653
2008-07-15,1992.688232,1992.688232,1992.688232,1992.688232,1992.688232,6018914
2008-07-16,2032.944580,2032.944580,1992.688232,2032.944580,2032.944580,50275305
2008-07-17,2093.329102,2093.329102,2093.329102,2093.329102,2093.329102,1378886
2008-07-18,2153.713623,2153.713623,2093.329102,2153.713623,2153.713623,46763813
2008-07-21,2113.457275,2093.329102,2093.329102,2093.329102,2093.329102,23362764
2008-07-22,2032.944580,2032.944580,2032.944580,2032.944580,2032.944580,2747613
2008-07-23,1972.560181,1972.560181,1972.560181,1972.560181,1972.560181,3208409
2008-07-24,2012.816406,2012.816406,1916.201294,1932.303833,1932.303833,43668877
2008-07-25,1988.662720,1988.662720,1952.432007,1988.662720,1988.662720,17695323
2008-07-28,2032.944580,2032.944580,2032.944580,2032.944580,2032.944580,1699088
2008-07-29,2093.329102,2093.329102,2093.329102,2093.329102,2093.329102,321156
2008-07-30,2153.713623,2153.713623,2153.713623,2153.713623,2153.713623,4242033
2008-07-31,2214.098145,2214.098145,2214.098145,2214.098145,2214.098145,7148660
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,null,null,null,null,null,null
2008-08-27,null,null,null,null,null,null
2008-08-28,null,null,null,null,null,null
2008-08-29,null,null,null,null,null,null
2008-09-01,null,null,null,null,null,null
2008-09-02,null,null,null,null,null,null
2008-09-03,null,null,null,null,null,null
2008-09-04,null,null,null,null,null,null
2008-09-05,null,null,null,null,null,null
2008-09-08,2415.379639,2576.405029,2415.379639,2495.892334,2495.892334,27758581
2008-09-09,2536.148682,2596.533203,2455.635986,2536.148682,2536.148682,16206609
2008-09-10,2576.405029,2576.405029,2435.507813,2455.635986,2455.635986,11297825
2008-09-11,2375.123535,2435.507813,2375.123535,2395.251465,2395.251465,15493426
2008-09-12,2294.610840,2375.123535,2294.610840,2294.610840,2294.610840,34556271
2008-09-15,2395.251465,2395.251465,2334.867188,2395.251465,2395.251465,16592161
2008-09-16,2455.635986,2455.635986,2294.610840,2294.610840,2294.610840,24403088
2008-09-17,2214.098145,2254.354492,2214.098145,2214.098145,2214.098145,23557743
2008-09-18,2113.457275,2113.457275,2113.457275,2113.457275,2113.457275,14879357
2008-09-19,2214.098145,2214.098145,2214.098145,2214.098145,2214.098145,9748997
2008-09-22,2314.739014,2314.739014,2314.739014,2314.739014,2314.739014,210623
2008-09-23,2294.610840,2415.379639,2254.354492,2354.995361,2354.995361,63283930
2008-09-24,2334.867188,2354.995361,2274.482666,2274.482666,2274.482666,14362677
2008-09-25,2334.867188,2375.123535,2314.739014,2375.123535,2375.123535,33323433
2008-09-26,2475.764160,2475.764160,2375.123535,2455.635986,2455.635986,50848855
2008-09-29,2334.867188,2455.635986,2334.867188,2354.995361,2354.995361,32243356
2008-09-30,2254.354492,2254.354492,2254.354492,2254.354492,2254.354492,825685
2008-10-01,2294.610840,2314.739014,2153.713623,2173.841797,2173.841797,37733178
2008-10-02,2173.841797,2234.226318,2113.457275,2173.841797,2173.841797,22474938
2008-10-03,2113.457275,2173.841797,2113.457275,2113.457275,2113.457275,17068100
2008-10-06,2053.072754,2053.072754,2008.790771,2008.790771,2008.790771,17528882
2008-10-07,1912.175659,1912.175659,1912.175659,1912.175659,1912.175659,8493291
2008-10-08,1819.586060,1819.586060,1819.586060,1819.586060,1819.586060,12805160
2008-10-09,1731.022095,1831.662964,1731.022095,1731.022095,1731.022095,27414297
2008-10-10,1646.483887,1646.483887,1646.483887,1646.483887,1646.483887,3483897
2008-10-13,1598.176270,1646.483887,1565.971191,1565.971191,1565.971191,20019687
2008-10-14,1642.458252,1642.458252,1642.458252,1642.458252,1642.458252,1503089
2008-10-15,1722.970947,1722.970947,1610.253174,1722.970947,1722.970947,27903167
2008-10-16,1638.432617,1710.894043,1638.432617,1670.637695,1670.637695,12481240
2008-10-17,1670.637695,1690.765869,1662.586426,1678.688965,1678.688965,11917844
2008-10-20,1670.637695,1670.637695,1618.304443,1622.330078,1622.330078,8326618
2008-10-21,1670.637695,1670.637695,1622.330078,1670.637695,1670.637695,11016879
2008-10-22,1610.253174,1630.381348,1602.201904,1606.227539,1606.227539,9390533
2008-10-23,1529.740479,1549.868652,1529.740479,1529.740479,1529.740479,7382668
2008-10-24,1453.253540,1489.484131,1453.253540,1453.253540,1453.253540,10855419
2008-10-27,1380.792114,1380.792114,1380.792114,1380.792114,1380.792114,4089020
2008-10-28,1312.356323,1320.407593,1312.356323,1312.356323,1312.356323,35491036
2008-10-29,1376.766479,1376.766479,1255.997437,1312.356323,1312.356323,29552344
2008-10-30,1247.946167,1312.356323,1247.946167,1247.946167,1247.946167,25121729
2008-10-31,1247.946167,1308.330688,1219.766724,1308.330688,1308.330688,18478562
2008-11-03,1260.023071,1348.587036,1247.946167,1300.279419,1300.279419,20109345
2008-11-04,1300.279419,1364.689575,1288.202515,1364.689575,1364.689575,11160462
2008-11-05,1429.099731,1429.099731,1429.099731,1429.099731,1429.099731,2685760
2008-11-06,1408.971558,1497.535400,1388.843384,1481.432861,1481.432861,43640811
2008-11-07,1408.971558,1477.407227,1408.971558,1408.971558,1408.971558,27763547
2008-11-10,1388.843384,1469.355957,1388.843384,1412.997192,1412.997192,12046022
2008-11-11,1360.663940,1368.715210,1344.561401,1344.561401,1344.561401,9869237
2008-11-12,1280.151245,1288.202515,1280.151245,1288.202515,1288.202515,16872586
2008-11-13,1239.894897,1328.458862,1239.894897,1308.330688,1308.330688,8526584
2008-11-14,1368.715210,1368.715210,1308.330688,1336.510132,1336.510132,8366105
2008-11-17,1304.305054,1336.510132,1304.305054,1316.381958,1316.381958,5816205
2008-11-18,1268.074341,1316.381958,1268.074341,1276.125610,1276.125610,7576440
2008-11-19,1288.202515,1292.228149,1268.074341,1272.099976,1272.099976,5234171
2008-11-20,1211.715454,1239.894897,1211.715454,1211.715454,1211.715454,20049986
2008-11-21,1159.382324,1211.715454,1159.382324,1203.664185,1203.664185,11228507
2008-11-24,1247.946167,1247.946167,1207.689819,1215.741089,1215.741089,9733841
2008-11-25,1247.946167,1247.946167,1231.843628,1247.946167,1247.946167,7971141
2008-11-26,1247.946167,1255.997437,1219.766724,1219.766724,1219.766724,9790476
2008-11-27,1207.689819,1207.689819,1167.433594,1167.433594,1167.433594,15247005
2008-11-28,1215.741089,1223.792358,1167.433594,1223.792358,1223.792358,14493589
2008-12-01,1191.587280,1251.971802,1187.561768,1223.792358,1223.792358,6327417
2008-12-02,1207.689819,1207.689819,1199.638550,1199.638550,1199.638550,3083951
2008-12-03,1207.689819,1207.689819,1199.638550,1203.664185,1203.664185,3445888
2008-12-04,1207.689819,1235.869263,1207.689819,1211.715454,1211.715454,6916887
2008-12-05,1191.587280,1191.587280,1127.177246,1139.254150,1139.254150,6089454
2008-12-08,1103.023438,1111.074707,1082.895264,1082.895264,1082.895264,10766227
2008-12-09,1082.895264,1127.177246,1082.895264,1119.125977,1119.125977,7920714
2008-12-10,1103.023438,1111.074707,1094.972168,1094.972168,1094.972168,3432472
2008-12-11,1094.972168,1119.125977,1094.972168,1115.100342,1115.100342,3723114
2008-12-12,1159.382324,1167.433594,1127.177246,1167.433594,1167.433594,12451931
2008-12-15,1223.792358,1223.792358,1187.561768,1223.792358,1223.792358,10931417
2008-12-16,1207.689819,1207.689819,1163.407959,1163.407959,1163.407959,6377843
2008-12-17,1199.638550,1219.766724,1163.407959,1203.664185,1203.664185,8295325
2008-12-18,1203.664185,1231.843628,1187.561768,1215.741089,1215.741089,6093920
2008-12-19,1187.561768,1227.817993,1187.561768,1215.741089,1215.741089,12439503
2008-12-22,1268.074341,1268.074341,1239.894897,1255.997437,1255.997437,10885715
2008-12-23,1235.869263,1239.894897,1215.741089,1227.817993,1227.817993,10076136
2008-12-24,1207.689819,1235.869263,1207.689819,1227.817993,1227.817993,7070164
2008-12-25,1247.946167,1247.946167,1227.817993,1231.843628,1231.843628,5603314
2008-12-26,1231.843628,1255.997437,1227.817993,1247.946167,1247.946167,7264415
2008-12-29,1247.946167,1255.997437,1243.920532,1247.946167,1247.946167,5292062
2008-12-30,1247.946167,1292.228149,1247.946167,1288.202515,1288.202515,16385220
2008-12-31,1300.279419,1300.279419,1268.074341,1268.074341,1268.074341,10409509
2009-01-01,null,null,null,null,null,null
2009-01-02,1268.074341,1268.074341,1243.920532,1247.946167,1247.946167,3337825
2009-01-05,1247.946167,1247.946167,1223.792358,1235.869263,1235.869263,6364927
2009-01-06,1239.894897,1268.074341,1239.894897,1255.997437,1255.997437,7678006
2009-01-07,1288.202515,1308.330688,1280.151245,1296.253784,1296.253784,16761063
2009-01-08,1268.074341,1292.228149,1264.048706,1276.125610,1276.125610,10672590
2009-01-09,1280.151245,1288.202515,1276.125610,1280.151245,1280.151245,9593241
2009-01-12,1276.125610,1280.151245,1268.074341,1280.151245,1280.151245,4569685
2009-01-13,1272.099976,1272.099976,1255.997437,1260.023071,1260.023071,6167684
2009-01-14,1247.946167,1284.176880,1247.946167,1260.023071,1260.023071,6020138
2009-01-15,1251.971802,1260.023071,1251.971802,1255.997437,1255.997437,3187529
2009-01-16,1255.997437,1264.048706,1247.946167,1251.971802,1251.971802,3023588
2009-01-19,1251.971802,1251.971802,1235.869263,1235.869263,1235.869263,4007288
2009-01-20,1235.869263,1235.869263,1227.817993,1231.843628,1231.843628,3544002
2009-01-21,1227.817993,1231.843628,1211.715454,1211.715454,1211.715454,3550228
2009-01-22,1227.817993,1227.817993,1219.766724,1227.817993,1227.817993,1217187
2009-01-23,1219.766724,1243.920532,1219.766724,1239.894897,1239.894897,1174950
2009-01-26,null,null,null,null,null,null
2009-01-27,null,null,null,null,null,null
2009-01-28,null,null,null,null,null,null
2009-01-29,null,null,null,null,null,null
2009-01-30,null,null,null,null,null,null
2009-02-02,1235.869263,1239.894897,1199.638550,1207.689819,1207.689819,4415925
2009-02-03,1199.638550,1199.638550,1179.510498,1183.536133,1183.536133,5603800
